Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/3/2000,ASIANPAINT,361.2,370,390,370,385,381.65,380.54,3318
1/4/2000,ASIANPAINT,381.65,380,392,375,390,385.55,383.5,4818
1/5/2000,ASIANPAINT,385.55,371.5,390,371.5,383,383,379.81,2628
1/6/2000,ASIANPAINT,383,384.9,384.9,374.5,375.1,377.5,379.88,3354
1/7/2000,ASIANPAINT,377.5,376,390,370,389,385.7,383.38,9589
1/10/2000,ASIANPAINT,385.7,415,416.6,409,416.6,415,414.97,60313
1/11/2000,ASIANPAINT,415,415,423,409,417,415.2,412.51,65570
1/12/2000,ASIANPAINT,415.2,420,448.45,410.05,418.55,417.65,421.46,24854
1/13/2000,ASIANPAINT,417.65,423,429.9,413.05,417.1,418.7,422.4,9169
1/14/2000,ASIANPAINT,418.7,410,414.9,408,410.6,410,410.05,64603
1/17/2000,ASIANPAINT,410,420,421,401,415,411.35,413.72,7537
1/18/2000,ASIANPAINT,411.35,410,419,410,416,414.05,413.76,7656
1/19/2000,ASIANPAINT,414.05,425,430,417.5,418,419.35,421.93,28800
1/20/2000,ASIANPAINT,419.35,425,428.9,412,422,420.55,418.78,54282
1/21/2000,ASIANPAINT,420.55,422,445,421.25,425.9,425.85,429.77,48388
1/24/2000,ASIANPAINT,425.85,434,459.95,434,459.95,458.4,457.7,55504
1/25/2000,ASIANPAINT,458.4,470,495.05,467,495.05,494.7,484,45422
1/27/2000,ASIANPAINT,494.7,530,530,460,477,472.95,477.35,33156
1/28/2000,ASIANPAINT,472.95,470,483,465,481,480.65,479.59,48664
1/31/2000,ASIANPAINT,480.65,499,499,460,460.5,460.5,461.12,35334
2/1/2000,ASIANPAINT,460.5,462,468,459,460.05,460.3,460.67,29884
2/2/2000,ASIANPAINT,460.3,475,475,459,460,460.1,461.38,14142
2/3/2000,ASIANPAINT,460.1,462,463,455,455,456.1,459.08,24627
2/4/2000,ASIANPAINT,456.1,460,465,455,455,456.7,458.31,71643
2/7/2000,ASIANPAINT,456.7,460,460,440,455,453.65,450.96,6906
2/8/2000,ASIANPAINT,453.65,440,481,440,463,459.85,450.21,53864
2/9/2000,ASIANPAINT,459.85,469,469,447.5,455.5,457.15,455.68,2794
2/10/2000,ASIANPAINT,457.15,460,460,440,440,440.9,449.09,13668
2/11/2000,ASIANPAINT,440.9,437,450,431.5,450,443.35,440.32,5349
2/14/2000,ASIANPAINT,443.35,440,450,414.9,435,431.75,434.8,3624
2/15/2000,ASIANPAINT,431.75,445,445,400.1,415.95,416.65,411.27,8167
2/16/2000,ASIANPAINT,416.65,427,427,390,390,399.1,403.8,5557
