Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/3/2000,UTIBANK,24.7,26.7,26.7,26.7,26.7,26.7,26.7,112100
1/4/2000,UTIBANK,26.7,27,28.7,26.5,27,26.85,27.24,234500
1/5/2000,UTIBANK,26.85,26,27.75,25.5,26.4,26.3,26.24,170100
1/6/2000,UTIBANK,26.3,25.8,27,25.8,25.9,25.95,26.27,102100
1/7/2000,UTIBANK,25.95,25,26,24.25,25,24.8,25.04,62600
1/10/2000,UTIBANK,24.8,25.05,26.5,25,25,25,25.29,64200
1/11/2000,UTIBANK,25,24.25,24.8,23,23,23.2,23.9,91700
1/12/2000,UTIBANK,23.2,22.6,24.5,22.6,24,24,23.97,32500
1/13/2000,UTIBANK,24,24.5,24.5,23.1,23.8,23.6,23.77,48300
1/14/2000,UTIBANK,23.6,24,24.2,22.5,23.5,23.25,23.17,30700
1/17/2000,UTIBANK,23.25,24.5,25.15,24.25,25.15,25.15,25.09,82400
1/18/2000,UTIBANK,25.15,26.5,26.5,24.3,25.15,24.9,24.94,110400
1/19/2000,UTIBANK,24.9,24.75,26,24.75,25.4,25.6,25.56,89300
1/20/2000,UTIBANK,25.6,26.1,26.25,24.3,24.4,24.45,25.05,103500
1/21/2000,UTIBANK,24.45,25,25.3,24.3,25.3,25.1,24.79,47300
1/24/2000,UTIBANK,25.1,25.6,25.75,24.6,24.6,24.8,25.03,102400
1/25/2000,UTIBANK,24.8,25,25.4,24.05,24.9,25.05,24.9,131700
1/27/2000,UTIBANK,25.05,25.85,27.05,25.25,27.05,27.05,26.8,201400
1/28/2000,UTIBANK,27.05,28,29.25,27.1,29.25,29.25,29.04,311600
1/31/2000,UTIBANK,29.25,31,31.6,30.1,31.6,31.6,31.45,317000
2/1/2000,UTIBANK,31.6,32.95,34.15,32.95,34.15,34.15,34.11,201000
2/2/2000,UTIBANK,34.15,36.9,36.9,36.9,36.9,36.9,36.9,65800
2/3/2000,UTIBANK,36.9,39.85,39.85,39.85,39.85,39.85,39.85,160400
2/4/2000,UTIBANK,39.85,43.05,43.05,43.05,43.05,43.05,43.05,60700
2/7/2000,UTIBANK,43.05,46.5,46.5,39.65,39.65,39.65,40.95,790600
2/8/2000,UTIBANK,39.65,38,40.75,37,38,37.95,37.91,434100
2/9/2000,UTIBANK,37.95,39.5,40,35.05,36.6,36.05,36.78,284200
2/10/2000,UTIBANK,36.05,37.5,38.95,36.5,38.95,38.95,38.34,214000
