Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/3/2000,BRITANNIA,703.25,705,759.5,705,758,756.9,741.01,7512
1/4/2000,BRITANNIA,756.9,710,770,710,740,754.55,742.52,8135
1/5/2000,BRITANNIA,754.55,755,759,705,740,735.3,739.92,6095
1/6/2000,BRITANNIA,735.3,740,794.15,740,770,785.65,788.83,19697
1/7/2000,BRITANNIA,785.65,808,848.5,798,848.5,848.5,827.53,33107
1/10/2000,BRITANNIA,848.5,900,916.4,865,916.4,912.2,905.42,29575
1/11/2000,BRITANNIA,912.2,920,920,839.25,865,853.75,858.02,20635
1/12/2000,BRITANNIA,853.75,900,900,860.55,890.95,882.7,885.18,9312
1/13/2000,BRITANNIA,882.7,890,920,875,885,881.4,898.96,19526
1/14/2000,BRITANNIA,881.4,872.5,880,864,870,869.65,873.91,15675
1/17/2000,BRITANNIA,869.65,880,890,870,878,875.95,881,7125
1/18/2000,BRITANNIA,875.95,870.1,899,868,890,881.05,880.59,12526
1/19/2000,BRITANNIA,881.05,889,911,889,906.5,900.85,901.81,14108
1/20/2000,BRITANNIA,900.85,907,919.9,893.55,894,895.7,905.26,5671
1/21/2000,BRITANNIA,895.7,897.9,897.9,885.25,890,888.25,888.42,1888
1/24/2000,BRITANNIA,888.25,880,895,851,886,884.75,877.38,6351
1/25/2000,BRITANNIA,884.75,871,890,870,870,881.25,878.74,6859
1/27/2000,BRITANNIA,881.25,865.9,885,810.75,825.15,830.3,833.19,14678
1/28/2000,BRITANNIA,830.3,800,815,782,790,792.45,796.65,6418
1/31/2000,BRITANNIA,792.45,778.65,788,729.25,752,746.75,759.2,5416
2/1/2000,BRITANNIA,746.75,751,759,721,725,731.5,738.07,7347
2/2/2000,BRITANNIA,731.5,740,752,700,735,731.05,739.03,4939
2/3/2000,BRITANNIA,731.05,750,750,695,715,714.15,713.32,11619
2/4/2000,BRITANNIA,714.15,720,720,706,715,713.5,711.8,13147
2/7/2000,BRITANNIA,713.5,701,717,700,704.8,701.7,708.3,7195
2/8/2000,BRITANNIA,701.7,704,704,680,683,685.5,687.66,15083
2/9/2000,BRITANNIA,685.5,714,740.35,695,704.1,707.4,711.68,23357
2/10/2000,BRITANNIA,707.4,719,730,707,715,712.1,715.42,11341
2/11/2000,BRITANNIA,712.1,723,729,700,710,704.15,712.06,20795
2/14/2000,BRITANNIA,704.15,710,711,690,693,690.6,696.07,7765
2/15/2000,BRITANNIA,690.6,681,681,640,668,653.3,657.71,18622
2/16/2000,BRITANNIA,653.3,670,680,662,680,674.7,671.57,10876
2/17/2000,BRITANNIA,674.7,670,698,670,674,677,679.09,8926
2/18/2000,BRITANNIA,677,670,694.9,661,675,667.05,670.66,11460
2/21/2000,BRITANNIA,667.05,675,690,655,670,665.7,669.13,7993
2/22/2000,BRITANNIA,665.7,670,670,655,659.9,657.45,660.67,11142
2/23/2000,BRITANNIA,657.45,658,680,655,670,665.65,668.06,5793
2/24/2000,BRITANNIA,665.65,675,677,642,665,662.1,658.93,8205
2/25/2000,BRITANNIA,662.1,674,674,640,645,641.85,654.42,6346
2/28/2000,BRITANNIA,641.85,640,656,609.15,634.5,635.85,640.47,9071
2/29/2000,BRITANNIA,635.85,650,659.85,605,605,611.5,634.25,16183
3/1/2000,BRITANNIA,611.5,625,625,562.6,562.6,562.6,569.89,9303
3/2/2000,BRITANNIA,562.6,527,530,517.6,517.6,517.6,518.26,8703
3/3/2000,BRITANNIA,517.6,476.2,545.45,476.2,500,504.6,487.22,26306
3/6/2000,BRITANNIA,504.6,525,525,464.25,476.25,475.3,481.61,18609
3/7/2000,BRITANNIA,475.3,479.9,490,462,470,469.35,474.37,17834
3/8/2000,BRITANNIA,469.35,488,506.45,465.1,494,489.4,490.24,39317
3/9/2000,BRITANNIA,489.4,500,500,475,499.75,499.65,480.96,34910
3/10/2000,BRITANNIA,499.65,500,517.9,470,490,486.15,487.73,36935
3/13/2000,BRITANNIA,486.15,500,520,487,512,512,504.55,13605
3/14/2000,BRITANNIA,512,510,530,490,528.75,519.95,497.86,30386
3/15/2000,BRITANNIA,519.95,520,561.55,520,543,540.1,548.53,16605
3/16/2000,BRITANNIA,540.1,547.6,559.85,520,540,543.65,537.44,9879
3/21/2000,BRITANNIA,543.65,550,554.95,535.1,545,544.85,545.73,22765
3/22/2000,BRITANNIA,544.85,563,587,558,575,573.25,567.46,19318
3/23/2000,BRITANNIA,573.25,590,595,572.25,580,579.45,578.37,19081
3/24/2000,BRITANNIA,579.45,581,613,581,595,599.3,595.86,10517
