Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/3/2000,CIPLA,1349.4,1410,1457.35,1380.05,1457.35,1457.35,1441.36,21060
1/4/2000,CIPLA,1457.35,1537,1537,1430,1466.05,1465.25,1460.43,30215
1/5/2000,CIPLA,1465.25,1474,1474,1365,1441,1435.05,1428.11,33799
1/6/2000,CIPLA,1435.05,1434,1435,1349,1365,1355.85,1390.55,33083
1/7/2000,CIPLA,1355.85,1370,1389.9,1247.4,1247.4,1247.55,1267.49,66536
1/10/2000,CIPLA,1247.55,1288,1299,1191,1197.15,1205.9,1222.23,105912
1/11/2000,CIPLA,1205.9,1225,1225,1109.45,1125,1114.25,1156.31,186975
1/12/2000,CIPLA,1114.25,1185,1203.4,1185,1203.4,1203.4,1202.76,7416
1/13/2000,CIPLA,1203.4,1299.7,1299.7,1281.2,1299.7,1297.05,1298.53,90379
1/14/2000,CIPLA,1297.05,1299,1304.55,1220,1275,1280.7,1275.38,70729
1/17/2000,CIPLA,1280.7,1335,1340,1250.15,1265,1270.05,1292.22,54938
1/18/2000,CIPLA,1270.05,1294,1294,1200,1235,1220.15,1227.43,51691
1/19/2000,CIPLA,1220.15,1175,1219.9,1132,1200,1203.85,1189.27,132669
1/20/2000,CIPLA,1203.85,1205,1223,1201,1208,1208.8,1212.22,44602
1/21/2000,CIPLA,1208.8,1210,1210,1160,1202,1201.1,1198.65,43168
1/24/2000,CIPLA,1201.1,1218,1223.9,1185,1212,1212,1210.61,67930
1/25/2000,CIPLA,1212,1195,1208,1176.05,1197.9,1194.3,1195.43,65851
1/27/2000,CIPLA,1194.3,1225,1225,1185,1195,1190.3,1197.07,33549
1/28/2000,CIPLA,1190.3,1210,1215,1171,1183,1183.75,1188.57,25834
1/31/2000,CIPLA,1183.75,1162,1184.9,1155,1169.35,1173.1,1172.11,30473
2/1/2000,CIPLA,1173.1,1185,1232,1160,1225,1219.5,1191.88,57336
2/2/2000,CIPLA,1219.5,1249,1295,1240,1277,1270.85,1267.86,67545
