Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/3/2000,DRREDDY,1396.5,1505,1508.25,1505,1508.25,1508.25,1508.21,13280
1/4/2000,DRREDDY,1508.25,1590,1628.95,1510,1628.95,1628.95,1579.29,57142
1/5/2000,DRREDDY,1628.95,1549,1650,1499,1566,1568.05,1594.99,119697
1/6/2000,DRREDDY,1568.05,1599,1693.5,1571,1693.5,1661.55,1632.11,121966
1/7/2000,DRREDDY,1661.55,1685,1685,1528.65,1528.65,1529.1,1585.24,79641
1/10/2000,DRREDDY,1529.1,1560,1560,1407.5,1502,1503.9,1503.84,62612
1/11/2000,DRREDDY,1503.9,1512,1529,1384,1436,1446.6,1449.71,89184
1/12/2000,DRREDDY,1446.6,1460,1540,1460,1486.05,1490.9,1496.5,31611
1/13/2000,DRREDDY,1490.9,1485,1545,1461,1470.05,1477.45,1511.43,39753
1/14/2000,DRREDDY,1477.45,1470.05,1510,1412,1486.45,1473.5,1458.08,46272
1/17/2000,DRREDDY,1473.5,1515,1570,1495,1495,1508.75,1533.26,67750
1/18/2000,DRREDDY,1508.75,1475,1475,1431.05,1450,1450.35,1450.67,44008
1/19/2000,DRREDDY,1450.35,1490,1566.4,1465,1566.4,1566.4,1539.85,77430
1/20/2000,DRREDDY,1566.4,1600,1649.75,1515.05,1548.9,1537.05,1593.07,225319
1/21/2000,DRREDDY,1537.05,1580,1580,1530,1567.8,1551.5,1549.77,57911
1/24/2000,DRREDDY,1551.5,1580,1590,1510.1,1515,1521,1556.22,54652
1/25/2000,DRREDDY,1521,1480,1519,1445,1464,1453.85,1471.03,77439
1/27/2000,DRREDDY,1453.85,1485,1549,1460,1465,1470.35,1498.46,114477
1/28/2000,DRREDDY,1470.35,1484,1492,1410,1425,1428.9,1457.76,78901
1/31/2000,DRREDDY,1428.9,1440,1450,1350,1363.1,1366.8,1396.9,39291
2/1/2000,DRREDDY,1366.8,1350,1419,1333,1415,1400.25,1382.81,88075
2/2/2000,DRREDDY,1400.25,1459,1512.3,1450,1495,1496,1492.88,104003
2/3/2000,DRREDDY,1496,1510,1534.8,1480,1489.5,1490.35,1507.14,35746
2/4/2000,DRREDDY,1490.35,1510,1550,1466.05,1479,1481.1,1480.68,29143
2/7/2000,DRREDDY,1481.1,1445,1462,1362.65,1362.65,1364.1,1390.68,75093
2/8/2000,DRREDDY,1364.1,1320,1400,1320,1387,1387.95,1386.54,69268
2/9/2000,DRREDDY,1387.95,1481,1481,1400,1416,1413.25,1426.48,37295
2/10/2000,DRREDDY,1413.25,1400,1430,1399,1417,1418.2,1414.48,13794
2/11/2000,DRREDDY,1418.2,1431.5,1431.5,1381,1410,1412.5,1410.11,24390
2/14/2000,DRREDDY,1412.5,1386,1409.9,1350,1363,1362.15,1377.42,22131
