Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/3/2000,GAIL,67.8,65,70,65,68.8,68.7,67.91,76055
1/4/2000,GAIL,68.7,69.85,72.9,66,67,66.35,67.29,98097
1/5/2000,GAIL,66.35,68.35,68.7,61.1,63,63.2,65.24,92690
1/6/2000,GAIL,63.2,64.8,67,63,64.75,64.95,65.55,173654
1/7/2000,GAIL,64.95,65.9,65.9,62,62.9,62.65,63.76,86590
1/10/2000,GAIL,62.65,64.95,64.95,62,62.7,62.3,62.81,85104
1/11/2000,GAIL,62.3,62,62.4,59,59.75,59.8,60.79,97101
1/12/2000,GAIL,59.8,62.7,62.7,60.25,61.7,61.55,61.25,97974
1/13/2000,GAIL,61.55,62.3,62.5,61.25,61.7,61.85,61.88,28151
1/14/2000,GAIL,61.85,61.75,62.9,60.05,62.9,62.45,61.34,33125
1/17/2000,GAIL,62.45,63.5,64.45,62,63.7,63.8,63.79,82245
1/18/2000,GAIL,63.8,64.4,67.9,63.55,66.55,66.95,65.33,70485
1/19/2000,GAIL,66.95,70,70,65,66,65.8,67.91,119332
1/20/2000,GAIL,65.8,65.5,66.45,62.85,63.45,63.4,64.26,47088
1/21/2000,GAIL,63.4,62.25,64,62,62.7,62.25,62.62,57404
1/24/2000,GAIL,62.25,63,64.25,61.25,62.5,62.15,62.61,53436
1/25/2000,GAIL,62.15,61.25,62.45,60.15,61,60.55,60.8,81899
1/27/2000,GAIL,60.55,62.7,63,60.5,60.9,60.8,61.17,38220
1/28/2000,GAIL,60.8,61.25,61.25,60,60.9,60.85,60.75,17670
1/31/2000,GAIL,60.85,60.25,61,58.1,58.8,58.5,59.59,24481
2/1/2000,GAIL,58.5,59,59.8,58.3,58.5,58.6,59,34865
2/2/2000,GAIL,58.6,60.75,61.95,60,61.05,61.05,61.03,31500
2/3/2000,GAIL,61.05,60.6,62.45,60.6,61.4,60.95,60.77,179501
2/4/2000,GAIL,60.95,61.5,61.5,59,60,59.85,59.77,42005
2/7/2000,GAIL,59.85,58,60.7,58,59,58.75,59,19835
2/8/2000,GAIL,58.75,58.45,59.25,56.25,56.25,56.95,57.34,43484
2/9/2000,GAIL,56.95,59.45,59.5,57,58.75,58.75,58.46,20148
2/10/2000,GAIL,58.75,59.8,62,59.3,61.6,61.5,60.32,102515
2/11/2000,GAIL,61.5,63.1,65,60.1,60.1,60.3,61.71,40995
2/14/2000,GAIL,60.3,61,61.9,57,57.9,57.15,58.86,38631
2/15/2000,GAIL,57.15,57,59.6,56.15,58,57.85,57.94,457722
2/16/2000,GAIL,57.85,59.55,61,57.6,57.6,58.15,59.09,39696
2/17/2000,GAIL,58.15,59.55,62.8,59.55,62.8,62.8,61.87,153868
2/18/2000,GAIL,62.8,67.85,67.85,67.85,67.85,67.85,67.85,30848
2/21/2000,GAIL,67.85,73.3,73.3,73.3,73.3,73.3,73.3,35708
2/22/2000,GAIL,73.3,79.2,79.2,78.75,79.2,79.2,79.19,260024
2/23/2000,GAIL,79.2,85.5,85.5,73.05,83,83.7,81.04,658407
2/24/2000,GAIL,83.7,84,84.9,77,77,77,79.37,88980
