Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/3/2000,GRASIM,405.8,429.9,438.3,425,438.3,438.3,432.24,101578
1/4/2000,GRASIM,438.3,437.5,440,420.05,439.5,437.15,428.27,126117
1/5/2000,GRASIM,437.15,420.1,447.9,412,430,439.6,436.1,163877
1/6/2000,GRASIM,439.6,449.9,474.8,449.9,474.8,474.8,474.68,44248
1/7/2000,GRASIM,474.8,472,512.8,472,512.8,512.8,512.61,188564
1/10/2000,GRASIM,512.8,553.8,553.85,475,510,501.95,505.41,368433
1/11/2000,GRASIM,501.95,497,497,462,462,474.3,479.9,196177
1/12/2000,GRASIM,474.3,465,472,437,461.9,458.45,456.26,68421
1/13/2000,GRASIM,458.45,460,475,442,456,452.35,460.77,103720
1/14/2000,GRASIM,452.35,460,460,416.2,433,434.95,432.61,93774
1/17/2000,GRASIM,434.95,434,453.5,434,451,450.9,446.62,122901
1/18/2000,GRASIM,450.9,451,457.2,426,429.9,431.3,441.85,85911
1/19/2000,GRASIM,431.3,445,450,410,425,418.95,425.13,309006
1/20/2000,GRASIM,418.95,428,435,422,426.2,425.55,427.94,215838
1/21/2000,GRASIM,425.55,425,425,405.5,412,409.45,413.75,107477
1/24/2000,GRASIM,409.45,412,422.9,412,415.4,415.15,417.02,118612
1/25/2000,GRASIM,415.15,405,416,381.95,390,389.7,391.31,225256
1/27/2000,GRASIM,389.7,396.9,414.8,388,390,397.65,402.93,333149
1/28/2000,GRASIM,397.65,400,410,383,384,385.4,393.77,388709
1/31/2000,GRASIM,385.4,388,390,370,379.05,384.5,380.29,286867
2/1/2000,GRASIM,384.5,381,381,365,366.15,365.75,371.49,349769
2/2/2000,GRASIM,365.75,377,379.85,366.5,369.75,369.1,373.88,258977
2/3/2000,GRASIM,369.1,379,379,369,373.5,375.55,375.56,127513
2/4/2000,GRASIM,375.55,380,380,371.95,373.5,373.55,375.81,95007
2/7/2000,GRASIM,373.55,377,377,366.5,375.2,373.3,371.67,149597
2/8/2000,GRASIM,373.3,378,403.2,373,403.2,401.95,398.78,348592
2/9/2000,GRASIM,401.95,424.85,434.1,404,408.95,407.4,420.93,372455
2/10/2000,GRASIM,407.4,404,415,397,399,401.1,406.36,184831
2/11/2000,GRASIM,401.1,395,400.5,375,389.8,386.05,388.57,232143
2/14/2000,GRASIM,386.05,390,398,363.6,370,368.8,371.42,147635
2/15/2000,GRASIM,368.8,360.15,367.9,346.2,359,355.7,356.87,273607
2/16/2000,GRASIM,355.7,365,370,360,363.5,365.5,365.46,114052
2/17/2000,GRASIM,365.5,362,368.8,352,355,357.4,360.3,81326
2/18/2000,GRASIM,357.4,353,363.7,329,345,345.7,346.89,339324
2/21/2000,GRASIM,345.7,339,345,318.05,318.05,318.05,319.66,93799
2/22/2000,GRASIM,318.05,308.05,311.9,292.65,292.65,292.75,294.43,305087
2/23/2000,GRASIM,292.75,302.95,302.95,281,286,285.1,290.35,292520
2/24/2000,GRASIM,285.1,289.9,293,278.05,280,284.05,287.13,202515
2/25/2000,GRASIM,284.05,284.9,306.8,284,306.8,304.35,303.3,300500
2/28/2000,GRASIM,304.35,312,328.7,312,328.7,328.7,322.41,104770
2/29/2000,GRASIM,328.7,340,355,309,309,323.8,347.26,518129
3/1/2000,GRASIM,323.8,317,330,305,323.15,321.5,321.32,65207
3/2/2000,GRASIM,321.5,330,347.25,330,347.25,347.25,345.37,176853
3/3/2000,GRASIM,347.25,349,375.05,339,375.05,371.2,364.03,289597
3/6/2000,GRASIM,371.2,375.1,385,360.1,371,370.45,371.31,150851
3/7/2000,GRASIM,370.45,372,375,340.85,340.85,341.15,344.7,81572
