Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/3/2000,ICICIBANK,69.2,74.35,74.75,71.4,74.75,74.75,73.2,286260
1/4/2000,ICICIBANK,74.75,73.05,78.5,71,73.25,73.05,73.38,296264
1/5/2000,ICICIBANK,73.05,70,73.5,67.5,70,69.5,70.85,227624
1/6/2000,ICICIBANK,69.5,71,74,69.55,69.75,70.05,72.04,275149
1/7/2000,ICICIBANK,70.05,69,72.5,66,67,67.4,68.72,138809
1/10/2000,ICICIBANK,67.4,67,71,67,70,69.9,69.78,249656
1/11/2000,ICICIBANK,69.9,69.15,70.45,66.1,69,69.35,68.89,307601
1/12/2000,ICICIBANK,69.35,69,74.9,69,74.9,74.9,74.35,88395
1/13/2000,ICICIBANK,74.9,80,80.9,78,79,79.35,80.43,494679
1/14/2000,ICICIBANK,79.35,78,80.8,75,80.05,79,78.15,703072
1/17/2000,ICICIBANK,79,81.8,85.35,81.8,85.35,85.35,85.32,242095
1/18/2000,ICICIBANK,85.35,88.1,88.1,82,85.05,84.8,84.69,332383
1/19/2000,ICICIBANK,84.8,88.7,91.6,87,91.6,91.6,91.29,319504
1/20/2000,ICICIBANK,91.6,98.9,98.95,95,96.15,96.35,97.19,562692
1/21/2000,ICICIBANK,96.35,103.75,103.75,90.65,100,99.35,97.3,497788
1/24/2000,ICICIBANK,99.35,101,107.3,101,107.3,107.3,106.59,238959
1/25/2000,ICICIBANK,107.3,112,115.9,105.9,115.9,115.9,114.25,377898
1/27/2000,ICICIBANK,115.9,125.2,125.2,125.15,125.2,125.2,125.2,55421
1/28/2000,ICICIBANK,125.2,130,135.25,125.2,135.25,135.25,133.89,140552
1/31/2000,ICICIBANK,135.25,145,146.1,142.8,146.1,146.1,146.05,48483
2/1/2000,ICICIBANK,146.1,157.8,157.8,154.1,157.8,157.8,157.18,294448
2/2/2000,ICICIBANK,157.8,170.4,170.45,170.4,170.45,170.45,170.45,77058
2/3/2000,ICICIBANK,170.45,180.9,184.1,156.85,156.85,156.85,164.29,1096584
2/4/2000,ICICIBANK,156.85,160,160,144.3,144.3,144.4,145.62,916856
2/7/2000,ICICIBANK,144.4,153.5,155.95,141,154.2,155.6,154.97,346954
2/8/2000,ICICIBANK,155.6,160,162,145,151.75,151.55,151.25,518908
2/9/2000,ICICIBANK,151.55,163,163,147,158,156.55,153.12,574437
2/10/2000,ICICIBANK,156.55,160,169.1,160,169.1,169.1,168.32,477509
2/11/2000,ICICIBANK,169.1,178.85,178.85,158.9,158.9,160.3,165.24,358089
2/14/2000,ICICIBANK,160.3,161.7,173,161.7,172.9,171.7,169.06,680012
2/15/2000,ICICIBANK,171.7,171.9,178,162,166.05,164.2,166.09,333939
2/16/2000,ICICIBANK,164.2,173.7,177.35,168,177.35,177.05,171.77,365906
2/17/2000,ICICIBANK,177.05,179.95,187.45,175,179.65,179.75,182.55,524041
2/18/2000,ICICIBANK,179.75,179,180,172.2,174,174.35,174.77,206088
2/21/2000,ICICIBANK,174.35,177,177,168.25,170,170.2,170.54,216847
2/22/2000,ICICIBANK,170.2,171,172,157.55,159,158.9,162.92,302490
2/23/2000,ICICIBANK,158.9,163,169.8,156,156.05,156.9,161.02,138078
2/24/2000,ICICIBANK,156.9,163,163,144.5,148.75,148.8,151.89,158543
2/25/2000,ICICIBANK,148.8,154,160.7,147.5,160.7,160.3,156.56,168818
2/28/2000,ICICIBANK,160.3,167,173.15,155,173.15,173.15,170.6,207492
2/29/2000,ICICIBANK,173.15,186.2,187,165.65,168,171.3,183.25,485692
3/1/2000,ICICIBANK,171.3,170,185,170,185,185,181.84,134657
3/2/2000,ICICIBANK,185,199.8,199.8,199.8,199.8,199.8,199.8,60344
3/3/2000,ICICIBANK,199.8,215.8,215.8,215.8,215.8,215.8,215.8,54422
3/6/2000,ICICIBANK,215.8,233.1,233.1,199.8,233.1,233.1,230.72,253604
3/7/2000,ICICIBANK,233.1,245,250,214.45,235,238.15,228.68,505774
3/8/2000,ICICIBANK,238.15,249.5,249.5,219.1,219.1,219.35,228.49,188461
3/9/2000,ICICIBANK,219.35,213,221.05,201.8,201.8,201.8,205.24,105191
3/10/2000,ICICIBANK,201.8,199.9,217.95,185.7,215.2,211.65,202.59,370944
3/13/2000,ICICIBANK,211.65,216,218.8,194.75,202,201.1,203.41,324805
3/14/2000,ICICIBANK,201.1,200,205,186,201,201.2,199.82,295642
3/15/2000,ICICIBANK,201.2,203.1,212.9,198,211,210.35,209.02,143921
3/16/2000,ICICIBANK,210.35,215,217,202,203.85,203.95,211.32,135423
3/21/2000,ICICIBANK,203.95,202,208.9,187.85,194,191.75,195.47,143802
3/22/2000,ICICIBANK,191.75,197,207,195,200,200.35,201.4,108196
3/23/2000,ICICIBANK,200.35,207,216.4,207,216.4,216.4,214.83,69268
3/24/2000,ICICIBANK,216.4,228,233.75,216.25,233.75,233.75,227.17,199705
3/27/2000,ICICIBANK,233.75,238,251.5,233,236.65,237.65,241.07,244731
3/28/2000,ICICIBANK,237.65,242,242.2,218.65,220,221.95,223.54,266906
3/29/2000,ICICIBANK,221.95,239.75,239.75,239.75,239.75,239.75,239.75,211225
3/30/2000,ICICIBANK,239.75,258.95,258.95,258.95,258.95,258.95,258.95,53319
3/31/2000,ICICIBANK,258.95,239.75,275,239,260.25,267.05,261.39,1049199
4/3/2000,ICICIBANK,267.05,272.75,279.65,245.7,250.5,247.45,252.46,608155
4/4/2000,ICICIBANK,247.45,245.75,245.75,227.65,227.65,229.25,228.27,729506
4/5/2000,ICICIBANK,229.25,227.65,227.65,210.95,210.95,210.95,215.86,100843
4/6/2000,ICICIBANK,210.95,212,219.95,194.1,203.4,202.85,199.35,263754
4/7/2000,ICICIBANK,202.85,215.95,219.1,215.95,219.1,219.1,218.86,59542
4/10/2000,ICICIBANK,219.1,224,236.65,224,236.65,236.65,236.41,27472
4/11/2000,ICICIBANK,236.65,220,249.45,217.75,243,242.8,229.9,228999
4/12/2000,ICICIBANK,242.8,259,259,232.1,236.85,236.95,237.5,147279
4/13/2000,ICICIBANK,236.95,232,232,218,225.95,224.5,222.54,241833
4/17/2000,ICICIBANK,224.5,206.55,225,206.55,209,209.25,208.49,223208
4/18/2000,ICICIBANK,209.25,219.9,225,210,221.9,219.9,218.18,107964
4/19/2000,ICICIBANK,219.9,235,235,211.05,217.05,217.55,221.28,134861
4/20/2000,ICICIBANK,217.55,220,220,206,217,215.45,210.54,97754
4/24/2000,ICICIBANK,215.45,218.9,220,204,204.5,206.15,210.33,129833
4/25/2000,ICICIBANK,206.15,197,206,189.7,203.25,202.7,194.46,282772
4/26/2000,ICICIBANK,202.7,216,218.95,208,218.95,218.95,214.99,144078
4/27/2000,ICICIBANK,218.95,224,234,220.2,229.5,229.2,227.67,340421
4/28/2000,ICICIBANK,229.2,225,238.35,225,236.7,235.5,233.57,302849
5/2/2000,ICICIBANK,235.5,235,240,217.1,224,220.25,223.55,343078
5/3/2000,ICICIBANK,220.25,218,225,204,224,223,214.84,239615
5/4/2000,ICICIBANK,223,228,228,207,212,211.45,215.81,172933
5/5/2000,ICICIBANK,211.45,219,219.45,211.05,215,215.8,215.88,160784
5/8/2000,ICICIBANK,215.8,214,215,207,211,210.1,210.98,118758
5/9/2000,ICICIBANK,210.1,209,220,205.2,219.9,219,214.17,155582
5/10/2000,ICICIBANK,219,219,219,213,214,215.25,215.63,89460
5/11/2000,ICICIBANK,215.25,213.1,213.1,198.1,208.5,204.25,203.7,255996
5/12/2000,ICICIBANK,204.25,207.25,211.75,202.5,209,208.25,207.9,118677
5/15/2000,ICICIBANK,208.25,201.1,210,194.5,209,209.25,202.97,155373
5/16/2000,ICICIBANK,209.25,212.95,212.95,204.4,207.3,207.95,206.9,86602
5/17/2000,ICICIBANK,207.95,211,219,208,210.5,209.7,213.08,139971
5/18/2000,ICICIBANK,209.7,209.05,212,206.3,210,210.05,209.25,54932
5/19/2000,ICICIBANK,210.05,208.05,212,207.2,211.95,210.1,208.94,43368
5/22/2000,ICICIBANK,210.1,209.1,211.9,204,205,205.6,206.91,53428
5/23/2000,ICICIBANK,205.6,205,212,200.05,212,208.95,205.35,127213
5/24/2000,ICICIBANK,208.95,203,210.5,203,206.5,206.65,207.8,72039
5/25/2000,ICICIBANK,206.65,208.9,211.6,206.25,208.85,207.7,209.4,57430
5/26/2000,ICICIBANK,207.7,205.35,209.9,203,207.95,207.65,206.45,58259
5/29/2000,ICICIBANK,207.65,209,212,205.1,210,209.75,208.83,63014
5/30/2000,ICICIBANK,209.75,209.4,212,207.25,210.7,210.45,209.12,60036
5/31/2000,ICICIBANK,210.45,219,224.6,209,211.8,211.4,212.83,135011
6/1/2000,ICICIBANK,211.4,210.5,211.9,208,208,208.5,209.17,21008
6/2/2000,ICICIBANK,208.5,209.9,211,200.05,206.8,207,206.95,126397
6/5/2000,ICICIBANK,207,211.8,231.85,211.8,231.85,231.65,225.17,359261
6/6/2000,ICICIBANK,231.65,233,234,222,226,230.1,226.89,146336
6/7/2000,ICICIBANK,230.1,231,234.25,216,216.5,217,222.7,85109
6/8/2000,ICICIBANK,217,216,217.85,205,213,212.95,211.89,261715
6/9/2000,ICICIBANK,212.95,214.5,215.4,208.2,214.95,214.15,212.93,95239
6/12/2000,ICICIBANK,214.15,213,216.25,206.1,210.1,210.6,209.78,143508
6/13/2000,ICICIBANK,210.6,206,211,204,210,210.2,208.56,90061
6/14/2000,ICICIBANK,210.2,208,216.9,208,209.5,209.45,210.77,106741
6/15/2000,ICICIBANK,209.45,207.55,213.4,207,209.6,209.3,209.74,124410
6/16/2000,ICICIBANK,209.3,211,211.95,208.5,209.95,209.55,209.82,50894
6/19/2000,ICICIBANK,209.55,208.5,210.4,207,207.5,207.55,208.76,42065
6/20/2000,ICICIBANK,207.55,209.75,224,207.3,213.6,213.85,212.57,174729
6/21/2000,ICICIBANK,213.85,216.5,217.9,210.4,212,212.9,213.67,71102
6/22/2000,ICICIBANK,212.9,212,217.5,211,215.1,215,214.57,71160
6/23/2000,ICICIBANK,215,216.35,218.75,213,214.5,214.7,215.3,62910
6/26/2000,ICICIBANK,214.7,213,213.15,209.75,210.25,210.6,211.11,28147
6/27/2000,ICICIBANK,210.6,212,213,208.5,212.85,211.85,211,69225
6/28/2000,ICICIBANK,211.85,213,213,209.25,211.25,211.1,210.68,62900
6/29/2000,ICICIBANK,211.1,213.5,213.5,210,212.5,212.8,211.99,35067
6/30/2000,ICICIBANK,212.8,209.5,213.95,209.5,211.5,211.5,211.33,26666
7/3/2000,ICICIBANK,211.5,210.2,234,210.1,224,222.6,223.04,144365
7/4/2000,ICICIBANK,222.6,226,229.9,221,226,225.75,226.16,87295
7/5/2000,ICICIBANK,225.75,229.6,232,223.1,226.5,225.2,229.07,106131
7/6/2000,ICICIBANK,225.2,223.25,225.95,221,224.5,224.3,223.43,34931
7/7/2000,ICICIBANK,224.3,225,225,212.15,214.9,214.65,217.87,63532
7/10/2000,ICICIBANK,214.65,217,217,210,211.05,211.3,211.29,54525
7/11/2000,ICICIBANK,211.3,212.5,213,203.25,208,206.9,209.62,106665
7/12/2000,ICICIBANK,206.9,210.8,211,208,208,208.6,209.34,70568
7/13/2000,ICICIBANK,208.6,210.9,214.5,206,206.5,207.25,209.47,43166
7/14/2000,ICICIBANK,207.25,205.25,208.45,198,205,207.45,205.77,187968
7/17/2000,ICICIBANK,207.45,207.9,209.35,203.8,209,208,207.26,145149
7/18/2000,ICICIBANK,208,205.5,210.95,202.6,210,209.5,207.79,270637
7/19/2000,ICICIBANK,209.5,208,212.95,205.4,206.05,206.65,209.48,116439
7/20/2000,ICICIBANK,206.65,205.5,206,191,198.3,197.8,198.99,105541
7/21/2000,ICICIBANK,197.8,195,205,192.1,203,201.95,199.94,167705
7/24/2000,ICICIBANK,201.95,196.05,202,193.15,201.5,200.2,196.05,173567
7/25/2000,ICICIBANK,200.2,198.5,203,194.05,200,200.15,199.39,140110
7/26/2000,ICICIBANK,200.15,201,204.5,199.05,200.1,200.15,200.31,64094
7/27/2000,ICICIBANK,200.15,198.1,201,197,200.5,200.65,199.15,24912
7/28/2000,ICICIBANK,200.65,200.5,202,200,200.75,201.05,200.87,37923
7/31/2000,ICICIBANK,201.05,199.9,202,196.25,199.5,199.45,199.08,20305
8/1/2000,ICICIBANK,199.45,200.4,200.9,199.35,200.05,199.85,199.77,50973
8/2/2000,ICICIBANK,199.85,200.9,200.9,197,199.2,199.35,199.02,25527
8/3/2000,ICICIBANK,199.35,200,207.4,195.2,206.25,206.25,204.25,66961
8/4/2000,ICICIBANK,206.25,206,206.5,203.15,206.4,205.9,205.14,37844
8/7/2000,ICICIBANK,205.9,205,209.8,190,206.15,206.75,202.74,84412
8/8/2000,ICICIBANK,206.75,206.5,216.7,204.15,214,210.25,209.83,64143
8/9/2000,ICICIBANK,210.25,211.1,213,207.1,209,208.7,209.53,25283
8/10/2000,ICICIBANK,208.7,209,210.95,206.1,206.45,206.45,208.38,16965
8/11/2000,ICICIBANK,206.45,208,208,201.25,203,203.1,204.47,17222
8/14/2000,ICICIBANK,203.1,203,206,201.25,202,202.25,202.4,30432
8/16/2000,ICICIBANK,202.25,202.5,210,202.1,209.9,209.3,207.14,45432
8/17/2000,ICICIBANK,209.3,210.2,211.5,207,207.3,207.6,208.58,25286
8/18/2000,ICICIBANK,207.6,206,208.6,204,206.5,207.2,205.71,33894
8/21/2000,ICICIBANK,207.2,205,207.45,199,201,200.25,201.21,36319
8/22/2000,ICICIBANK,200.25,203,203,196,199.95,199.9,199.71,152211
8/23/2000,ICICIBANK,199.9,200,202.8,199,199.5,200,200.02,104459
8/24/2000,ICICIBANK,200,200,201.8,196.2,197.15,197.7,197.61,19089
8/25/2000,ICICIBANK,197.7,197,198,191.1,193.3,194.85,194.86,51757
8/28/2000,ICICIBANK,194.85,196,200,191.5,197,199.1,195.51,78061
8/29/2000,ICICIBANK,199.1,195.25,197,193,194.5,193.8,194.68,37859
8/30/2000,ICICIBANK,193.8,196.7,200,193.85,196.95,197.25,196.71,86542
8/31/2000,ICICIBANK,197.25,197,198.4,194.5,195.35,194.9,195.56,15407
9/4/2000,ICICIBANK,194.9,195.55,198.85,195,197,196.5,196.63,33653
9/5/2000,ICICIBANK,196.5,195.55,207,195.55,204,203.25,202.65,134710
9/6/2000,ICICIBANK,203.25,204.9,208.9,198.05,199.05,198.7,203.66,122396
9/7/2000,ICICIBANK,198.7,198,199,193.1,196.15,196.8,196.27,61782
9/8/2000,ICICIBANK,196.8,199,199,194,195,194.8,195.82,38615
9/11/2000,ICICIBANK,194.8,195.75,197.8,188,193,193.05,193.19,56022
9/12/2000,ICICIBANK,193.05,181.1,193,181.1,188,187.7,189.41,87268
9/13/2000,ICICIBANK,187.7,185.9,186,172.7,173,175.8,180.13,143274
9/14/2000,ICICIBANK,175.8,173.05,181,165,169,170.35,171.29,135213
9/15/2000,ICICIBANK,170.35,172,172,155,155.2,157.2,159.72,195361
9/18/2000,ICICIBANK,157.2,145.1,151,136.55,143.5,143.45,143.37,231688
9/19/2000,ICICIBANK,143.45,136,166.4,133,166.4,166.25,157.29,330656
9/20/2000,ICICIBANK,166.25,170,170,154.05,164.4,164.05,162.41,126884
9/21/2000,ICICIBANK,164.05,166,166,161,161.5,162.1,163.02,44217
9/22/2000,ICICIBANK,162.1,164,164,155.5,157.5,157.4,158.67,70005
9/25/2000,ICICIBANK,157.4,166,166,158,163,162.8,161.04,29753
9/26/2000,ICICIBANK,162.8,163,170,160.5,168.3,168.25,166.1,145216
9/27/2000,ICICIBANK,168.25,163.5,163.75,158.6,163.2,162.4,161.89,45632
9/28/2000,ICICIBANK,162.4,160.3,161.95,158,158.9,158.5,159.54,24052
9/29/2000,ICICIBANK,158.5,160,160,150,153,152.7,154.39,38740
10/3/2000,ICICIBANK,152.7,140.5,151.3,140.5,145,146.45,146.87,110690
10/4/2000,ICICIBANK,146.45,143.1,144,140,140,140.35,141.91,88046
10/5/2000,ICICIBANK,140.35,142,144.9,120,121.4,122.7,130.13,218316
