Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/3/2000,INDUSINDBK,26.8,28.9,28.95,28,28.95,28.95,28.69,107224
1/4/2000,INDUSINDBK,28.95,30.85,31.25,27.9,30.6,30.25,29.12,182693
1/5/2000,INDUSINDBK,30.25,29.9,30,27.85,28.45,28.15,28.72,162820
1/6/2000,INDUSINDBK,28.15,29.25,29.35,27.95,27.95,28,28.55,87901
1/7/2000,INDUSINDBK,28,27.2,28,26.5,27.2,27.05,27.09,65684
1/10/2000,INDUSINDBK,27.05,28,28.05,27.15,27.45,27.5,27.68,87142
1/11/2000,INDUSINDBK,27.5,28,28,26,27,26.35,26.52,186472
1/12/2000,INDUSINDBK,26.35,27.4,27.4,26.65,27.3,27.1,26.93,72140
1/13/2000,INDUSINDBK,27.1,27,27.5,26.55,26.8,26.7,27.07,89730
1/14/2000,INDUSINDBK,26.7,26.5,26.7,25.65,26,25.95,26.04,66070
1/17/2000,INDUSINDBK,25.95,27.95,28.05,27.95,28.05,28.05,28.05,122350
1/18/2000,INDUSINDBK,28.05,30.25,30.3,27.3,28,27.8,28.75,389710
1/19/2000,INDUSINDBK,27.8,28.5,30,27.65,30,29.7,28.72,268997
1/20/2000,INDUSINDBK,29.7,29.9,31.4,29.15,30.9,30.6,30.01,281868
1/21/2000,INDUSINDBK,30.6,30.9,30.9,29.25,30.5,30.3,29.86,225437
1/24/2000,INDUSINDBK,30.3,28.6,32,28.6,29.05,29.1,29.65,141305
1/25/2000,INDUSINDBK,29.1,29,29.6,28.1,29.5,29.1,28.75,191270
1/27/2000,INDUSINDBK,29.1,30.5,31.45,30,31.45,31.45,31.39,77448
1/28/2000,INDUSINDBK,31.45,34,34,34,34,34,34,51944
1/31/2000,INDUSINDBK,34,36.5,36.75,36.5,36.75,36.75,36.75,159195
2/1/2000,INDUSINDBK,36.75,39.65,39.7,35.5,39.7,39.7,39.03,729559
2/2/2000,INDUSINDBK,39.7,42.9,42.9,42.9,42.9,42.9,42.9,105148
2/3/2000,INDUSINDBK,42.9,45.7,46.35,40.45,41,41.25,43.77,1141249
2/4/2000,INDUSINDBK,41.25,42,42,37.95,38.5,38.7,39.07,507695
2/7/2000,INDUSINDBK,38.7,38.9,41.25,36.35,39.6,40.45,39.17,543292
2/8/2000,INDUSINDBK,40.45,39,40,37.25,37.25,37.25,37.87,312719
2/9/2000,INDUSINDBK,37.25,35,37,34.3,34.3,34.3,34.83,312438
2/10/2000,INDUSINDBK,34.3,32,36.35,32,36.25,35.7,34.28,277726
2/11/2000,INDUSINDBK,35.7,36.9,38.6,33.8,38.6,36.75,35.81,303244
2/14/2000,INDUSINDBK,36.75,37,39.7,36,39.7,39.45,39.08,487791
2/15/2000,INDUSINDBK,39.45,39,39.5,36.5,36.75,36.95,37.65,267457
2/16/2000,INDUSINDBK,36.95,36.8,39.7,36.8,39,39.1,38.42,201526
2/17/2000,INDUSINDBK,39.1,39.2,40.5,37.8,38.75,38.85,39.49,357881
2/18/2000,INDUSINDBK,38.85,39.2,39.2,37.1,37.4,37.55,37.76,136250
2/21/2000,INDUSINDBK,37.55,38.85,38.85,36.1,36.5,36.6,37.12,176819
2/22/2000,INDUSINDBK,36.6,36.6,36.8,33.7,33.7,34.05,34.77,274612
2/23/2000,INDUSINDBK,34.05,35.3,36.5,34.5,35.2,35.05,35.58,111125
2/24/2000,INDUSINDBK,35.05,35.3,36,33.8,34.5,34.65,34.73,57138
2/25/2000,INDUSINDBK,34.65,35.3,37,32.55,33.65,33.4,33.78,78878
2/28/2000,INDUSINDBK,33.4,32.15,35,32.15,34.7,34.2,34.1,144048
2/29/2000,INDUSINDBK,34.2,34.7,36.5,32.1,32.5,32.75,34.94,271208
3/1/2000,INDUSINDBK,32.75,31.8,35.4,31.8,35.4,35,34.44,84125
3/2/2000,INDUSINDBK,35,35.95,36.9,34,34.3,34.4,34.89,122355
3/3/2000,INDUSINDBK,34.4,34,37,32.55,33,32.95,33.34,131777
3/6/2000,INDUSINDBK,32.95,33.95,33.95,32.05,32.15,32.25,32.7,110277
3/7/2000,INDUSINDBK,32.25,32.05,32.5,29.85,30.8,30.75,30.7,122189
3/8/2000,INDUSINDBK,30.75,31,31.45,28.55,29,29.55,29.72,126700
3/9/2000,INDUSINDBK,29.55,28.55,30,27.25,30,29.55,28.31,82656
3/10/2000,INDUSINDBK,29.55,30.5,31.95,29,31.95,31.95,30.92,86581
3/13/2000,INDUSINDBK,31.95,32.5,34.55,31.55,34.55,34.45,33.47,548158
3/14/2000,INDUSINDBK,34.45,35.05,35.5,31.7,31.85,31.85,32.8,355260
3/15/2000,INDUSINDBK,31.85,32.55,33.3,30.5,31.9,31.55,31.55,120351
3/16/2000,INDUSINDBK,31.55,31,31,29.25,29.9,29.65,29.83,60520
3/21/2000,INDUSINDBK,29.65,30.4,30.4,27.3,27.5,27.75,27.99,132997
7/2/2001,INDUSINDBK,13,11.05,13,11.05,12.65,12.7,12.79,1053
7/3/2001,INDUSINDBK,12.7,12.75,13.2,12.7,13.1,13.1,13,4430
7/4/2001,INDUSINDBK,13.1,12.8,13.15,12.8,13.05,13.05,13,6350
7/5/2001,INDUSINDBK,13.05,12.85,13.1,12.85,13.1,13.05,13.01,2700
7/6/2001,INDUSINDBK,13.05,13.15,13.15,12.9,13.15,13.15,13.07,8200
7/9/2001,INDUSINDBK,13.15,12.8,12.8,12.3,12.8,12.8,12.73,13520
7/10/2001,INDUSINDBK,12.8,12.65,13,12.65,12.85,12.8,12.84,2895
7/11/2001,INDUSINDBK,12.8,12.85,12.9,12.75,12.9,12.9,12.83,5650
7/12/2001,INDUSINDBK,12.9,12.6,13,12.6,13,12.9,12.86,13602
7/13/2001,INDUSINDBK,12.9,12.8,13,12.7,12.7,12.8,12.82,8309
7/16/2001,INDUSINDBK,12.8,12.9,13,12.9,12.95,12.9,12.94,17415
7/17/2001,INDUSINDBK,12.9,12.85,13.15,12.85,12.95,12.95,12.98,5151
7/18/2001,INDUSINDBK,12.95,13,13.15,12.95,13.05,13.05,13.08,8010
7/19/2001,INDUSINDBK,13.05,13,13.1,12.9,13.1,12.95,12.98,7021
7/20/2001,INDUSINDBK,12.95,13,13.1,12.85,12.85,12.85,12.97,6125
7/23/2001,INDUSINDBK,12.85,13.25,13.25,13.25,13.25,13.25,13.25,200
7/24/2001,INDUSINDBK,13.25,12.8,13.1,12.5,12.75,12.8,12.82,7005
7/25/2001,INDUSINDBK,12.8,12.6,12.85,12.6,12.85,12.75,12.73,22204
7/26/2001,INDUSINDBK,12.75,13,13,12.65,12.65,12.75,12.77,7000
7/27/2001,INDUSINDBK,12.75,12.6,12.95,12.6,12.9,12.9,12.87,5810
7/30/2001,INDUSINDBK,12.9,12.9,13,12.5,13,12.95,12.82,25125
7/31/2001,INDUSINDBK,12.95,13,13.25,12.85,13.1,13.1,13.03,19951
8/1/2001,INDUSINDBK,13.1,13.1,13.75,12.85,13.6,13.6,13.4,29276
8/2/2001,INDUSINDBK,13.6,13.6,13.6,13,13.05,13.2,13.18,25600
8/3/2001,INDUSINDBK,13.2,12.3,12.3,11.75,12,11.95,11.98,14900
8/6/2001,INDUSINDBK,11.95,12.15,12.15,11.8,11.9,11.95,11.95,8322
8/7/2001,INDUSINDBK,11.95,11.9,11.95,11.7,11.8,11.8,11.82,16973
8/8/2001,INDUSINDBK,11.8,11.85,11.9,11.8,11.9,11.85,11.84,5480
8/9/2001,INDUSINDBK,11.85,11.85,12,11.8,11.9,11.9,11.88,12335
8/10/2001,INDUSINDBK,11.9,12,12,11.8,11.95,11.85,11.89,6905
8/13/2001,INDUSINDBK,11.85,12,12.95,11.85,12,11.95,11.96,6261
8/14/2001,INDUSINDBK,11.95,11.9,11.9,11.75,11.8,11.8,11.81,2626
8/16/2001,INDUSINDBK,11.8,11.85,11.95,11.65,11.65,11.7,11.82,6995
8/17/2001,INDUSINDBK,11.7,11.75,11.9,11.7,11.8,11.8,11.79,3120
8/20/2001,INDUSINDBK,11.8,11.65,11.65,11.3,11.5,11.4,11.43,10450
8/21/2001,INDUSINDBK,11.4,11.5,11.65,11.3,11.3,11.35,11.43,8391
8/23/2001,INDUSINDBK,11.35,11.35,11.5,11.2,11.2,11.25,11.3,9606
8/24/2001,INDUSINDBK,11.25,11.5,11.5,11.15,11.15,11.2,11.24,5823
8/27/2001,INDUSINDBK,11.2,11.25,11.25,11.05,11.1,11.15,11.17,8257
8/28/2001,INDUSINDBK,11.15,11.25,11.3,11.1,11.1,11.1,11.17,10315
8/29/2001,INDUSINDBK,11.1,11.1,11.2,10.75,10.85,10.9,10.98,25222
8/30/2001,INDUSINDBK,10.9,11.3,11.3,10.9,11.1,11,11.04,15285
8/31/2001,INDUSINDBK,11,11.05,11.2,11,11.05,11.1,11.08,16650
9/3/2001,INDUSINDBK,11.1,11.05,11.25,11.05,11.1,11.15,11.16,10385
9/4/2001,INDUSINDBK,11.15,11.1,11.3,10.9,11.1,11.1,11.11,15310
9/5/2001,INDUSINDBK,11.1,11.1,11.6,11.1,11.35,11.5,11.35,14025
9/6/2001,INDUSINDBK,11.5,12.75,12.75,11.25,11.55,11.55,11.64,5576
9/7/2001,INDUSINDBK,11.55,11.3,11.6,11.25,11.45,11.45,11.36,7100
9/10/2001,INDUSINDBK,11.45,11.5,12,11.4,11.4,11.5,11.64,10527
9/11/2001,INDUSINDBK,11.5,11.6,12,11.25,11.5,11.5,11.54,13090
9/12/2001,INDUSINDBK,11.5,11.25,11.25,10.75,10.85,11.1,11.07,24633
9/13/2001,INDUSINDBK,11.1,11,11.25,10.85,10.85,10.9,10.97,9855
9/14/2001,INDUSINDBK,10.9,11,11,10,10.3,10.35,10.48,110545
9/17/2001,INDUSINDBK,10.35,10.3,10.3,8.95,9.1,9.15,9.21,40250
9/18/2001,INDUSINDBK,9.15,8.5,10,8.5,10,9.75,9.68,16140
9/19/2001,INDUSINDBK,9.75,10,10.35,10,10.25,10.25,10.25,6360
9/20/2001,INDUSINDBK,10.25,10.95,10.95,9.75,9.95,10,9.95,12920
9/21/2001,INDUSINDBK,10,10.15,10.15,9.8,10,10.05,9.95,9600
9/24/2001,INDUSINDBK,10.05,10.05,10.1,9.6,9.6,9.65,9.89,27160
9/25/2001,INDUSINDBK,9.65,9.8,9.9,9.65,9.65,9.65,9.76,5625
9/26/2001,INDUSINDBK,9.65,9.6,9.8,9.55,9.7,9.75,9.65,11200
9/27/2001,INDUSINDBK,9.75,10,10.1,9.75,9.9,9.95,9.91,5162
9/28/2001,INDUSINDBK,9.95,9.9,10,9.65,9.85,9.85,9.86,10495
